case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case3012wp	cuDSS_ubatch_mtauto	fp32	64	20.0228	0.0685647	0.0306568	0.000188673	5725	36263
case3012wp	custom	fp32	64	9.04129	0.00973925	0.00806378	0.000211316	5725	36263
case3012wp	custom	fp16	64	8.31387	0.0110493	0.00835447	0.000222835	5725	36263
case3012wp	custom	tf32	64	8.84231	0.0105785	0.00823505	0.000653013	5725	36263
case3012wp	cuDSS_ubatch_mtauto	fp32	256	19.9025	0.066226	0.0295143	0.000225652	5725	36263
case3012wp	custom	fp32	256	9.05843	0.00769188	0.00622982	0.000229002	5725	36263
case3012wp	custom	fp16	256	8.53988	0.00771884	0.00604776	0.0031936	5725	36263
case3012wp	custom	tf32	256	8.72286	0.007636	0.00612681	0.000398869	5725	36263
case6468rte	cuDSS_ubatch_mtauto	fp32	1	57.169	0.338401	0.186818	4.58478e-05	12643	87845
case6468rte	custom	fp32	1	16.6217	0.2736	0.214239	4.0936e-05	12643	87845
case6468rte	custom	fp16	1	17.4775	0.450811	0.232773	0.000493738	12643	87845
case6468rte	custom	tf32	1	17.2559	0.427126	0.235609	0.00573868	12643	87845
case6468rte	cuDSS_ubatch_mtauto	fp32	4	26.4527	0.173401	0.0778125	4.74661e-05	12643	87845
case6468rte	custom	fp32	4	16.6223	0.0873205	0.0713855	5.06687e-05	12643	87845
case6468rte	custom	fp16	4	17.019	0.112893	0.0671453	0.000448219	12643	87845
case6468rte	custom	tf32	4	16.8486	0.111638	0.0653968	0.00259113	12643	87845
case6468rte	cuDSS_ubatch_mtauto	fp32	32	25.8615	0.129021	0.0557217	5.22358e-05	12643	87845
case6468rte	custom	fp32	32	17.1327	0.0237756	0.0192434	5.45832e-05	12643	87845
case6468rte	custom	fp16	32	17.2806	0.0269553	0.0187265	0.00072707	12643	87845
case6468rte	custom	tf32	32	17.1796	0.0270028	0.0192606	0.00251408	12643	87845
case6468rte	cuDSS_ubatch_mtauto	fp32	64	25.8668	0.125468	0.0538203	5.23574e-05	12643	87845
case6468rte	custom	fp32	64	16.3475	0.018912	0.015249	4.92478e-05	12643	87845
case6468rte	custom	fp16	64	17.2941	0.0210079	0.0155592	0.000334844	12643	87845
case6468rte	custom	tf32	64	17.2734	0.0210414	0.0156601	0.00180646	12643	87845
case6468rte	cuDSS_ubatch_mtauto	fp32	256	25.7746	0.122694	0.052429	5.71453e-05	12643	87845
case6468rte	custom	fp32	256	16.9168	0.0172025	0.0128508	5.3294e-05	12643	87845
case6468rte	custom	fp16	256	16.8319	0.018316	0.0130111	0.000537463	12643	87845
